,UniprotID,GO.annotation.,X.1,Notes,Hcategory,Mcategory,Lcategory,category,Chebicategory,decision,importantCategory
596,Q22271,"GO:0015271; F:outward rectifier potassium channel activity; IDA:WormBase, GO:0022841; F:potassium ion leak channel activity; IBA:GO_Central.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:WormBase,1.C inorganic cation,1.C inorganic cation,
597,Q8BXR5,"GO:0005261; F:cation channel activity; IDA:UniProtKB, GO:0022840; F:leak channel activity; IMP:UniProtKB, GO:0005272; F:sodium channel activity; IEA:UniProtKB-KW, GO:0005244; F:voltage-gated ion channel activity; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,1.C inorganic cation,1.C inorganic cation*IDA:UniProtKB;1.A Nonselective*IEA:UniProtKB-KW.,"1.C inorganic cation,1.A Nonselective",1.C inorganic cation,
598,Q9QZM6,"GO:0008273; F:calcium, potassium:sodium antiporter activity; IDA:RGD, GO:0005262; F:calcium channel activity; IBA:GO_Central, GO:0005509; F:calcium ion binding; IBA:GO_Central, GO:0030955; F:potassium ion binding; IBA:GO_Central, GO:0031402; F:sodium ion binding; IBA:GO_Central, GO:0015293; F:symporter activity; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,,1.C inorganic cation,,1.C inorganic cation*IBA:GO_Central,1.C inorganic cation,1.C inorganic cation,
599,Q02094,"GO:0008519; F:ammonium transmembrane transporter activity; IDA:UniProtKB, GO:0022840; F:leak channel activity; IDA:UniProtKB, GO:0030506; F:ankyrin binding; IPI:UniProtKB, GO:0035379; F:carbon dioxide transmembrane transporter activity; TAS:Reactome.",1.C. Cation,VH. CONFIDENCE,unspecificed cation,7.D Other organic,,unspecificed cation*IDA:UniProtKB;7.D Other organic*TAS:Reactome.,"unspecificed cation,7.D Other organic",unspecificed cation,
600,Q9QXP0,"GO:0008519; F:ammonium transmembrane transporter activity; IDA:UniProtKB, GO:0030506; F:ankyrin binding; ISO:MGI, GO:0042802; F:identical protein binding; ISO:MGI.",1.C. Cation,VH. CONFIDENCE,unspecificed cation,,,unspecificed cation*IDA:UniProtKB,unspecificed cation,unspecificed cation,
601,Q9M6N7,GO:0015398; F:high-affinity secondary active ammonium transmembrane transporter activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
602,P41948,GO:0008519; F:ammonium transmembrane transporter activity; IDA:SGD.,1.C. Cation,VH. CONFIDENCE,unspecificed cation,,,unspecificed cation*IDA:SGD.,unspecificed cation,unspecificed cation,
603,P40260,GO:0008519; F:ammonium transmembrane transporter activity; IDA:SGD.,1.C. Cation,VH. CONFIDENCE,unspecificed cation,,,unspecificed cation*IDA:SGD.,unspecificed cation,unspecificed cation,
604,Q9XEA1,"GO:0005227; F:calcium activated cation channel activity; IDA:UniProtKB, GO:0005261; F:cation channel activity; IDA:TAIR.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
605,O65718,"GO:0005262; F:calcium channel activity; IDA:TAIR, GO:0005222; F:intracellular cAMP activated cation channel activity; IDA:TAIR, GO:0005221; F:intracellular cyclic nucleotide activated cation channel activity; IMP:TAIR, GO:0005242; F:inward rectifier potassium channel activity; IGI:TAIR, GO:0005516; F:calmodulin binding; TAS:TAIR, GO:0030552; F:cAMP binding; IEA:UniProtKB-KW, GO:0030553; F:cGMP binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR,1.C inorganic cation,1.C inorganic cation,
606,Q75XW3,GO:0015369; F:calcium:proton antiporter activity; IDA:UniProtKB.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB.,1.C inorganic cation,1.C inorganic cation,
607,Q945S5,"GO:0015368; F:calcium:cation antiporter activity; IDA:TAIR, GO:0015369; F:calcium:proton antiporter activity; IMP:TAIR.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR,1.C inorganic cation,1.C inorganic cation,
608,Q99385,"GO:0015369; F:calcium:proton antiporter activity; IDA:SGD, GO:0015386; F:potassium:proton antiporter activity; IMP:SGD, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD,1.C inorganic cation,1.C inorganic cation,
609,Q15878,"GO:0005245; F:voltage-gated calcium channel activity; IDA:MGI, GO:0008331; F:high voltage-gated calcium channel activity; IBA:GO_Central, GO:0005262; F:calcium channel activity; TAS:Reactome, GO:0005509; F:calcium ion binding; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:MGI,1.C inorganic cation,1.C inorganic cation,
610,O60840,"GO:0008331; F:high voltage-gated calcium channel activity; IDA:UniProtKB, GO:0005245; F:voltage-gated calcium channel activity; IDA:UniProtKB, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
611,O95180,"GO:0008332; F:low voltage-gated calcium channel activity; IDA:BHF-UCL, GO:0005244; F:voltage-gated ion channel activity; IDA:UniProtKB, GO:0097110; F:scaffold protein binding; IPI:BHF-UCL, GO:0005248; F:voltage-gated sodium channel activity; IBA:GO_Central, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation;1.A Nonselective,,,1.C inorganic cation*IDA:BHF-UCL;1.A Nonselective*IDA:UniProtKB,"1.C inorganic cation,1.A Nonselective",1.C inorganic cation,
612,O34840,GO:0015369; F:calcium:proton antiporter activity; IDA:UniProtKB.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB.,1.C inorganic cation,1.C inorganic cation,
613,Q96D31,"GO:0015279; F:store-operated calcium channel activity; IDA:UniProtKB, GO:0042802; F:identical protein binding; IPI:IntAct, GO:0005516; F:calmodulin binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
614,P38301,"GO:0015085; F:calcium ion transmembrane transporter activity; IDA:SGD, GO:0005384; F:manganese ion transmembrane transporter activity; IDA:SGD.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD,1.C inorganic cation,1.C inorganic cation,
615,Q9U1S7,"GO:0005262; F:calcium channel activity; IDA:UniProtKB, GO:0005509; F:calcium ion binding; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
616,Q3EBY6,GO:0005262; F:calcium channel activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
617,Q8NE86,"GO:0005262; F:calcium channel activity; IDA:UniProtKB, GO:0015292; F:uniporter activity; IDA:UniProtKB, GO:0042802; F:identical protein binding; IEA:Ensembl.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
618,P07293,"GO:0005245; F:voltage-gated calcium channel activity; IDA:UniProtKB, GO:0044325; F:ion channel binding; IPI:CAFA, GO:0005516; F:calmodulin binding; IEA:UniProtKB-KW, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
619,P97445,"GO:0005245; F:voltage-gated calcium channel activity; IDA:MGI, GO:0008331; F:high voltage-gated calcium channel activity; IMP:MGI, GO:0005516; F:calmodulin binding; ISO:MGI, GO:0019905; F:syntaxin binding; ISO:MGI, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:MGI,1.C inorganic cation,1.C inorganic cation,
620,Q13936,"GO:0008331; F:high voltage-gated calcium channel activity; IDA:BHF-UCL, GO:0005245; F:voltage-gated calcium channel activity; IDA:UniProtKB, GO:0051393; F:alpha-actinin binding; IPI:BHF-UCL, GO:0005516; F:calmodulin binding; IPI:UniProtKB, GO:0086056; F:voltage-gated calcium channel activity involved in AV node cell action potential; IMP:BHF-UCL, GO:0086007; F:voltage-gated calcium channel activity involved in cardiac muscle cell action potential; IMP:BHF-UCL, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:BHF-UCL,1.C inorganic cation,1.C inorganic cation,
621,P22002,"GO:0008331; F:high voltage-gated calcium channel activity; IDA:RGD, GO:0005245; F:voltage-gated calcium channel activity; IDA:RGD, GO:0044325; F:ion channel binding; IPI:BHF-UCL, GO:0019904; F:protein domain specific binding; IPI:RGD, GO:0051721; F:protein phosphatase 2A binding; IPI:RGD, GO:0031369; F:translation initiation factor binding; IPI:RGD, GO:0051393; F:alpha-actinin binding; ISS:BHF-UCL, GO:0086056; F:voltage-gated calcium channel activity involved in AV node cell action potential; ISS:BHF-UCL, GO:0086007; F:voltage-gated calcium channel activity involved in cardiac muscle cell action potential; ISS:BHF-UCL, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:RGD,1.C inorganic cation,1.C inorganic cation,
622,Q99246,"GO:0008331; F:high voltage-gated calcium channel activity; IDA:MGI, GO:0030506; F:ankyrin binding; IPI:BHF-UCL, GO:0086059; F:voltage-gated calcium channel activity involved SA node cell action potential; IMP:MGI, GO:0051393; F:alpha-actinin binding; ISO:MGI, GO:0005262; F:calcium channel activity; ISO:MGI, GO:0030165; F:PDZ domain binding; ISO:MGI, GO:0005245; F:voltage-gated calcium channel activity; ISO:MGI, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:MGI,1.C inorganic cation,1.C inorganic cation,
623,Q12324,"GO:0005227; F:calcium activated cation channel activity; IDA:SGD, GO:0005262; F:calcium channel activity; IDA:SGD, GO:0005267; F:potassium channel activity; IDA:SGD, GO:0005272; F:sodium channel activity; IDA:SGD, GO:0005244; F:voltage-gated ion channel activity; IDA:SGD.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation;1.C inorganic cation,,,1.C inorganic cation*IDA:SGD;1.A Nonselective*IDA:SGD.,"1.C inorganic cation,1.A Nonselective",1.C inorganic cation,
624,Q39253,GO:0015369; F:calcium:proton antiporter activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
625,Q06686,GO:0005375; F:copper ion transmembrane transporter activity; IDA:SGD.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD.,1.C inorganic cation,1.C inorganic cation,
626,Q869V1,"GO:0015093; F:ferrous iron transmembrane transporter activity; IDA:dictyBase, GO:0005381; F:iron ion transmembrane transporter activity; IDA:dictyBase.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:dictyBase,1.C inorganic cation,1.C inorganic cation,
627,Q6DHQ1,"GO:0030171; F:voltage-gated proton channel activity; IDA:ZFIN, GO:0008270; F:zinc ion binding; IDA:ZFIN.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:ZFIN,1.C inorganic cation,1.C inorganic cation,
628,P25396,"GO:0046583; F:cation efflux transmembrane transporter activity; IDA:EcoCyc, GO:0042802; F:identical protein binding; IPI:IntAct.",1.C. Cation,VH. CONFIDENCE,unspecificed cation,,,unspecificed cation*IDA:EcoCyc,unspecificed cation,unspecificed cation,
629,P69380,"GO:0015086; F:cadmium ion transmembrane transporter activity; IDA:EcoCyc, GO:0015093; F:ferrous iron transmembrane transporter activity; IDA:EcoCyc, GO:0015341; F:zinc efflux active transmembrane transporter activity; IDA:EcoCyc, GO:0042802; F:identical protein binding; IPI:IntAct.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:EcoCyc,1.C inorganic cation,1.C inorganic cation,
630,P40988,"GO:0005375; F:copper ion transmembrane transporter activity; IDA:SGD, GO:0005381; F:iron ion transmembrane transporter activity; IMP:SGD.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD,1.C inorganic cation,1.C inorganic cation,
631,Q9VAY3,GO:0005381; F:iron ion transmembrane transporter activity; IDA:UniProtKB.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB.,1.C inorganic cation,1.C inorganic cation,
632,Q9SAH0,GO:0015095; F:magnesium ion transmembrane transporter activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
633,Q9SAH8,"GO:0015086; F:cadmium ion transmembrane transporter activity; IDA:UniProtKB, GO:0005384; F:manganese ion transmembrane transporter activity; IDA:UniProtKB, GO:0005381; F:iron ion transmembrane transporter activity; IGI:TAIR.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
634,Q9ZPR4,GO:0015095; F:magnesium ion transmembrane transporter activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
635,Q9FLG2,GO:0015095; F:magnesium ion transmembrane transporter activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
636,Q01926,GO:0015095; F:magnesium ion transmembrane transporter activity; IDA:SGD.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD.,1.C inorganic cation,1.C inorganic cation,
637,Q9LJN2,GO:0015095; F:magnesium ion transmembrane transporter activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
638,Q1PE39,GO:0015095; F:magnesium ion transmembrane transporter activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
639,P38925,"GO:0022890; F:inorganic cation transmembrane transporter activity; IDA:SGD, GO:0015295; F:solute:proton symporter activity; IDA:SGD, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW, GO:0046873; F:metal ion transmembrane transporter activity; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD,1.C inorganic cation,1.C inorganic cation,
640,O80632,"GO:0005384; F:manganese ion transmembrane transporter activity; IDA:TAIR, GO:0010486; F:manganese:proton antiporter activity; IDA:TAIR.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR,1.C inorganic cation,1.C inorganic cation,
641,P76425,"GO:0046583; F:cation efflux transmembrane transporter activity; IDA:EcoCyc, GO:0015099; F:nickel cation transmembrane transporter activity; IMP:EcoCyc, GO:0046872; F:metal ion binding; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,unspecificed cation;1.C inorganic cation,,,unspecificed cation*IDA:EcoCyc;1.C inorganic cation*IMP:EcoCyc,"unspecificed cation,1.C inorganic cation",1.C inorganic cation,
642,P15385,"GO:0005216; F:ion channel activity; IDA:RGD, GO:0005267; F:potassium channel activity; IDA:RGD, GO:0005249; F:voltage-gated potassium channel activity; IDA:RGD, GO:0030955; F:potassium ion binding; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,1.A Nonselective;1.C inorganic cation,,,1.A Nonselective*IDA:RGD;1.C inorganic cation*IDA:RGD,"1.A Nonselective,1.C inorganic cation",1.C inorganic cation,
643,P22460,"GO:0005251; F:delayed rectifier potassium channel activity; IDA:UniProtKB, GO:0015271; F:outward rectifier potassium channel activity; IDA:BHF-UCL, GO:0051393; F:alpha-actinin binding; IPI:BHF-UCL, GO:0019901; F:protein kinase binding; IPI:BHF-UCL, GO:0097110; F:scaffold protein binding; IPI:BHF-UCL, GO:0086089; F:voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization; IMP:BHF-UCL, GO:0086087; F:voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization; IMP:BHF-UCL, GO:0086090; F:voltage-gated potassium channel activity involved in SA node cell action potential repolarization; IMP:BHF-UCL, GO:0019870; F:potassium channel inhibitor activity; IEA:Ensembl, GO:0005102; F:signaling receptor binding; IEA:Ensembl.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
644,P17970,"GO:0005251; F:delayed rectifier potassium channel activity; IDA:FlyBase, GO:0005249; F:voltage-gated potassium channel activity; TAS:FlyBase.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:FlyBase,1.C inorganic cation,1.C inorganic cation,
645,P08510,"GO:0022843; F:voltage-gated cation channel activity; IDA:FlyBase, GO:0005249; F:voltage-gated potassium channel activity; TAS:FlyBase.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:FlyBase,1.C inorganic cation,1.C inorganic cation,
646,Q9Z258,"GO:0005267; F:potassium channel activity; IDA:RGD, GO:0015269; F:calcium-activated potassium channel activity; IBA:GO_Central, GO:0005249; F:voltage-gated potassium channel activity; IBA:GO_Central.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:RGD,1.C inorganic cation,1.C inorganic cation,
647,Q850M0,"GO:0005242; F:inward rectifier potassium channel activity; IDA:UniProtKB, GO:0022841; F:potassium ion leak channel activity; IBA:GO_Central, GO:0005509; F:calcium ion binding; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
648,P15387,"GO:0005251; F:delayed rectifier potassium channel activity; IDA:UniProtKB ,GO:0046982; F:protein heterodimerization activity; IDA:UniProtKB, GO:0005249; F:voltage-gated potassium channel activity; IDA:MGI, GO:0044325; F:ion channel binding; IPI:UniProtKB, GO:0047485; F:protein N-terminus binding; IPI:RGD, GO:0000149; F:SNARE binding; IPI:UniProtKB, GO:0015271; F:outward rectifier potassium channel activity; IMP:RGD.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
649,Q15842,"GO:0015272; F:ATP-activated inward rectifier potassium channel activity; IDA:BHF-UCL, GO:1902282; F:voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization; IMP:BHF-UCL, GO:0005242; F:inward rectifier potassium channel activity; TAS:ProtInc, GO:0005524; F:ATP binding; IEA:Ensembl, GO:0017098; F:sulfonylurea receptor binding; IEA:Ensembl.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:BHF-UCL,1.C inorganic cation,1.C inorganic cation,
650,O43525,"GO:0005516; F:calmodulin binding; IDA:UniProtKB, GO:0005249; F:voltage-gated potassium channel activity; IDA:UniProtKB.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB.,1.C inorganic cation,1.C inorganic cation,
651,Q9NR82,GO:0005249; F:voltage-gated potassium channel activity; IDA:UniProtKB.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB.,1.C inorganic cation,1.C inorganic cation,
652,Q12791,"GO:0003779; F:actin binding; IDA:BHF-UCL, GO:0015269; F:calcium-activated potassium channel activity; IDA:UniProtKB, GO:0060072; F:large conductance calcium-activated potassium channel activity; IDA:UniProtKB, GO:0005249; F:voltage-gated potassium channel activity; IDA:UniProtKB, GO:0042802; F:identical protein binding; IPI:IntAct, GO:0046872; F:metal ion binding; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
653,Q87TN7,"GO:0005267; F:potassium channel activity; IDA:UniProtKB, GO:0030955; F:potassium ion binding; IDA:UniProtKB, GO:0042803; F:protein homodimerization activity; IDA:UniProtKB, GO:0042802; F:identical protein binding; IPI:IntAct, GO:0015379; F:potassium:chloride symporter activity; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,"1.C inorganic cation,1.D inorganic anion","1.C inorganic cation*IDA:UniProtKB;1.C inorganic cation,1.D inorganic anion*IEA:InterPro.","1.C inorganic cation,1.C inorganic cation,1.D inorganic anion",MC,
654,K9UJK2,GO:0005267; F:potassium channel activity; IDA:UniProtKB.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB.,1.C inorganic cation,1.C inorganic cation,
655,O22920,"GO:0015079; F:potassium ion transmembrane transporter activity; IDA:TAIR, GO:0015299; F:solute:proton antiporter activity; IEA:InterPro, GO:0015293; F:symporter activity; IEA:UniProtKB-KW.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,1.A Nonselective,1.C inorganic cation*IDA:TAIR;1.A Nonselective*IEA:InterPro,"1.C inorganic cation,1.A Nonselective",1.C inorganic cation,
656,Q9BSA9,"GO:0005267; F:potassium channel activity; IDA:UniProtKB, GO:0022841; F:potassium ion leak channel activity; IDA:UniProtKB.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
657,Q9M8S6,GO:0015271; F:outward rectifier potassium channel activity; IDA:TAIR.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:TAIR.,1.C inorganic cation,1.C inorganic cation,
658,P28584,GO:0015079; F:potassium ion transmembrane transporter activity; IDA:SGD.,1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD.,1.C inorganic cation,1.C inorganic cation,
659,P40310,"GO:0005267; F:potassium channel activity; IDA:SGD, GO:0022841; F:potassium ion leak channel activity; IBA:GO_Central, GO:0005249; F:voltage-gated potassium channel activity; IMP:SGD.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:SGD,1.C inorganic cation,1.C inorganic cation,
660,Q95V25,"GO:0015269; F:calcium-activated potassium channel activity; IDA:WormBase, GO:0005249; F:voltage-gated potassium channel activity; IDA:WormBase, GO:0060072; F:large conductance calcium-activated potassium channel activity; IBA:GO_Central.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:WormBase,1.C inorganic cation,1.C inorganic cation,
661,O14649,"GO:0022841; F:potassium ion leak channel activity; IDA:UniProtKB, GO:0005216; F:ion channel activity; IMP:UniProtKB, GO:0044548; F:S100 protein binding; IPI:UniProtKB, GO:0005267; F:potassium channel activity; TAS:Reactome, GO:0008083; F:growth factor activity; IEA:InterPro, GO:0005252; F:open rectifier potassium channel activity; IEA:Ensembl, GO:0008022; F:protein C-terminus binding; IEA:Ensembl, GO:0046982; F:protein heterodimerization activity; IEA:Ensembl, GO:0042803; F:protein homodimerization activity; IEA:Ensembl.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation;1.A Nonselective,,,1.C inorganic cation*IDA:UniProtKB;1.A Nonselective*IMP:UniProtKB,"1.C inorganic cation,1.A Nonselective",1.C inorganic cation,
662,Q6VV64,"GO:0015269; F:calcium-activated potassium channel activity; IDA:UniProtKB, GO:0015271; F:outward rectifier potassium channel activity; ISO:MGI, GO:0022841; F:potassium ion leak channel activity; IBA:GO_Central.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
663,P70604,"GO:0016286; F:small conductance calcium-activated potassium channel activity; IDA:UniProtKB, GO:0005516; F:calmodulin binding; IMP:RGD.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
664,O43526,"GO:0005516; F:calmodulin binding; IDA:UniProtKB, GO:0005249; F:voltage-gated potassium channel activity; IDA:UniProtKB, GO:0030506; F:ankyrin binding; IPI:BHF-UCL.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
665,P17658,"GO:0005251; F:delayed rectifier potassium channel activity; IDA:UniProtKB, GO:0005249; F:voltage-gated potassium channel activity; TAS:ProtInc.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
666,O54852,"GO:0005242; F:inward rectifier potassium channel activity; IDA:RGD, GO:0005267; F:potassium channel activity; IDA:RGD, GO:0005249; F:voltage-gated potassium channel activity; IDA:RGD.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:RGD,1.C inorganic cation,1.C inorganic cation,
667,P91927,"GO:0005432; F:calcium:sodium antiporter activity; IDA:FlyBase, GO:0015386; F:potassium:proton antiporter activity; IMP:FlyBase, GO:0005509; F:calcium ion binding; IEA:InterPro, GO:0043022; F:ribosome binding; IEA:InterPro.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:FlyBase,1.C inorganic cation,1.C inorganic cation,
668,Q9P246,"GO:0005509; F:calcium ion binding; IDA:UniProtKB, GO:0015279; F:store-operated calcium channel activity; IDA:UniProtKB, GO:0005246; F:calcium channel regulator activity; IMP:UniProtKB.",1.C. Cation,VH. CONFIDENCE,1.C inorganic cation,,,1.C inorganic cation*IDA:UniProtKB,1.C inorganic cation,1.C inorganic cation,
669,Q8K3P1,"GO:0004931; F:extracellularly ATP-gated cation channel activity; IDA:MGI, GO:0005524; F:ATP binding; ISO:MGI, GO:0046870; F:cadmium ion binding; ISO:MGI, GO:0050897; F:cobalt ion binding; ISO:MGI, GO:0005507; F:copper ion binding; ISO:MGI, GO:0008144; F:drug binding; ISO:MGI, GO:0042802; F:identical protein binding; ISO:MGI, GO:0015276; F:ligand-gated ion channel activity; ISO:MGI, GO:0045340; F:mercury ion binding; ISO:MGI, GO:0016151; F:nickel cation binding; ISO:MGI, GO:0035091; F:phosphatidylinositol binding; ISO:MGI, GO:0008270; F:zinc ion binding; ISO:MGI, GO:0003713; F:transcription coactivator activity; ISS:UniProtKB, GO:0001614; F:purinergic nucleotide receptor activity; IBA:GO_Central.",1.C. Cation,X,1.C inorganic cation,1.A Nonselective,,1.C inorganic cation*IDA:MGI;1.A Nonselective*ISO:MGI,"1.C inorganic cation,1.A Nonselective",1.C inorganic cation,
